Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Dominican Republic,DOM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,16.1814576782866,16.690961523126,17.5930436887673,29.3699996161352,41.9303145729387,30.2828081770081,33.300035201723,33.1718705755495,34.5293609573505,35.97186554526,36.8212918670814,38.0875848668099,39.3203008432257,41.7945034252297,43.5496726190476,45.045499074074,46.0644439393939,47.5343581962482,49.5099928571428,51.2948583333333,56.5245333333333,57.2211166666666,55.1409916666666,56.1576,59.5651333333333
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,2831.45883638033,2935.89367312668,3065.60329524196,2383.26171780393,2451.69161616569,3878.31206735244,4055.14270347371,4649.64558875814,5023.58513403515,4973.95186999952,5478.62470398954,5826.51014109195,6013.81965002603,6136.59429329301,6496.45166971142,6800.95309395474,7160.44200982307,7412.71571571512,7882.98221584944,8183.01623600375,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,10875.6618443092
Dominican Republic,DOM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,8.3,6.6,9,10.7,14.6,9.9,8.1,7.8,7.1,6.3,5.5,5.3,5.4,4.4,4.1,3.3,3,1.5,1.1,1,1.3,1.3,1,1.3,0.8
Early-demographic dividend,EAR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,1346.2395395696,1311.18270829395,1251.30296598532,1368.47911219559,1563.10591131168,1788.28350980842,2011.10903452871,2342.68810678142,2594.55632797993,2457.28657966372,2938.79859415379,3262.90999134968,3359.13086538369,3328.41752232259,3347.32555792556,3174.36962020929,3223.9805446069,3457.64943157186,3463.50882263374,3483.31545469615,3187.03781234801,3698.98363187847,4043.82776331568,4252.59733415786,4450.18711937385
Early-demographic dividend,EAR,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,4103.33628080966,3783.30921974687,3813.81685560294,4162.83398166818,4634.6623943391,4910.91472643792,5170.318905428,5739.38750773872,6569.11576512158,6713.65045131004,7784.344658223,8955.74869819951,9507.12974075371,9553.8618750751,9793.53363771993,9691.70576095154,9965.00400107685,10566.2828244863,11438.8584591418,11622.8915284736,11639.4853357389,13336.4841670883,13139.2109813612,13176.1786055635,13405.735673015
East Asia & Pacific,EAS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,46.6,44.1,40,36.2,32.9,28.9,27.7,25,23.4,21.4,18.9,15.3,13.2,9,7.8,6.1,5,4.1,3.3,2.6,2.7,2.6,2.4,2.2,2
East Asia & Pacific (excluding high income),EAP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
